"ASHWPARMET";"Représentation (par. méthodes)";
"ASHWSEC";"Représentation (Sections)";
"ASTYLE";"Styles de présentation";
"ASTYLEC";"Styles conditionnels";
"ASTYLEP";"Styles personnalisés";
"ASUBPROG";"Table des sous-programmes";
"ASUBPROGD";"Sous-programmes (Champs)";
"ASYSSMDBASSO";"X3";
"ASYSSMEXTERN";"X3";
"ASYSSMINTERN";"X3";
"ASYSSMPROCES";"X3";
"ATABAUD";"Champs audités";
"ATABDIV";"Tables diverses";
"ATABIND";"Dictionnaire des index";
"ATABLE";"Dictionnaire des tables";
"ATABTAB";"Paramètrage tables diverses";
"ATABZON";"Dictionnaire des champs";
"ATEXMOD";"Compteur des textes par module";
"ATEXTE";"Messages du dictionnaire";
"ATEXTEXCEP";"Exceptions (traduction)";
"ATEXTRA";"Textes à traduire";
"ATMPTRA";"Temporaire pour traces";
"ATRADIS";"Suivi des Imports/Exports";
"ATRANSAC";"Types de transactions";
"ATYPE";"Types de données";
"ATYPELNK";"Liens types de données";
"ATYPELPAR";"Paramètres types de données";
"ATYPEPRO";"Content type";
"ATYPERPAR";"Paramètres types de données";
"ATYPERUL";"Règles types de données";
"AUDITBI";"Audit BI";
"AUDITH";"Audit - En-tête";
"AUDITL";"Audit - Lignes";
"AUPDATE";"Mise à jour";
"AUPDATELINE";"Mise à jour";
"AUPDATEPATH";"Mise à jour";
"AURL";"Définition des URL";
"AUSRBPR";"Utilisateurs tiers";
"AUSRSOL";"Utilisateurs solution";
"AUSRSTA";"Statistiques";
"AUTILIS";"Utilisateurs";
"AUTILITY";"Utilitaires";
"AVALATT";"Valeurs des compteurs";
"AVALNUM";"Valeurs des compteurs";
"AVARLOC";"Contexte assistant de formules";
"AVIEW";"Dictionnaire des vues";
"AVIEWB";"Dictionnaire des vues";
"AVIEWC";"Dictionnaire des clés";
"AVIEWD";"Dictionnaire des vues";
"AVIEWE";"Liste des tables et vues";
"AVOCAB";"Personnalisation vocabulaire";
"AVOLUME";"Volume";
"AWEBSERDES";"Mapping Web services";
"AWEBSERVIC";"Services web";
"AWINBOUT";"Dictionnaire boutons fenêtres";
"AWINBRO";"Dictionnaire browsers fenêtres";
"AWINDOW";"Dictionnaire des fenêtres";
"AWINPAR";"Paramètres fenêtres";
"AWRKHISDES";"Historique Workflow";
"AWRKHISJOI";"Historique Workflow";
"AWRKHISMES";"Historique message workflow";
"AWRKHISSUI";"Historique suivi workflow";
"AWRKLNK";"Modèles de données";
"AWRKPAR";"Règles Workflow";
"AWRKPARC";"Règles Workflow (actions)";
"AWRKPARF";"Règles Workflow (signature)";
"AWRKPARH";"Règles Workflow (destinataire)";
"AWRKPARX";"Workflow simplifié";
"AWRKREG";"Règles d'affectation";
"AWRKREGVAL";"Affectation utilisateur";
"AWRKTAB";"Modèles de données";
"AWRKTRN";"Plan de travail workflow";
"AWRKTRND";"Plan de travail workflow";
"AWRKUSR";"Utilisateurs délégués";
"AWSDL";"Services web";
"AWSDL1";"Services web structure";
"BADDTER";"Conditions créances douteuses";
"BALAGEEOY";"Retard paiement/fact à arrêté";
"BALANA";"Balance analytique";
"BALANCE";"Balance générale";
"BALCONSO";"Balance de consolidation";
"BALPRECSL";"Balance pré-consolidée";
"BANK";"Compte en banque";
"BANKPOSD";"Situation bancaire";
"BANREC";"Etat rapprochement bancaire";
"BANRECD";"Ligne relevé bancaire";
"BAPPOINT";"Rendez-vous";
"BATCH";"Paramètres tâches batch";
"BDTTRK";"Créances douteuses";
"BENCHTRS";"Transaction  plans";
"BETCPY";"Paramétrage inter-sociétés";
"BETCPYL";"Paramétrage inter-sociétés";
"BGRBAN";"Groupe bancaire";
"BID";"Relevé identité bancaire";
"BILLLADC";"Contenu bon de transport";
"BILLLADD";"Détail bon de transport";
"BILLLADH";"En-tête bon de transport";
"BILLLADWRK";"Etat bon de transport";
"BILSTA";"Relevé de LCR et BOR";
"BITMPPORDERP";"Commandes d'achat Prix";
"BITMPPORDERQ";"Commandes d'achat quantités";
"BITMPSORDERP";"Commandes de vente - Prix";
"BITMPSORDERQ";"Commandes de vente - Quantités";
"BLACMM";"Balance analytique engagements";
"BLAQTY";"Balance analytique en quantité";
"BLOBEXPENSES";"Photo de la note de frais";
"BNKTRSIMP";"Import virements tréso Sage";
"BOM";"Nomenclatures Entête";
"BOMCREF";"Composant référence";
"BOMD";"Nomenclatures Détail";
"BOMPRN";"Impression Nomenclatures";
"BOMRET";"Analyse de faisabilité";
"BOMWUS";"Nomenclatures cas d'emploi";
"BOSIMP";"Nomenclature sous-traitance";
"BPADDRESS";"Adresses";
"BPARTNER";"Business Partner";
"BPCARRIER";"Transporteurs";
"BPCCATEG";"Catégorie client";
"BPCINVLIG";"Lignes factures tiers client";
"BPCINVLIGA";"Ligne analytique tiers client";
"BPCINVLIGLOC";"Lignes factures tiers client";
"BPCINVVAT";"Taux de taxes";
"BPCUSTMVT";"Mouvements clients";
"BPCUSTOMER";"Clients";
"BPDLVCUST";"Clients livrés";
"BPEXCEPT";"Exception tiers-société";
"BPMISC";"Donneur d'ordre/Tiers divers";
"BPMISCCGF";"Configuration tiers divers";
"BPSCATEG";"Catégorie fournisseur";
"BPSHISUPLN";"Adresses d'expéditions";
"BPSHISUPP";"Fournisseurs expéditeurs";
"BPSINVLIG";"Lignes factures tiers fourn";
"BPSINVLIGA";"Ligne analytique tiers fourn";
"BPSUPPLIER";"Fournisseurs";
"BPSUPPMVT";"Mouvements fournisseurs";
"BSEINQ";"Consultation bilan";
"BSIBPRNUM";"Définition numéro tiers";
"BSIBPRNUMD";"Détail définition numéro tiers";
"BSIDUD";"Echéances";
"BSIELTMAP";"Détail mapping élément camt";
"BSIELTMAPD";"Mapping élément camt.";
"BSIFILFMT";"Déf. format import bancaire";
"BSIFILFMTD";"Détail déf. format import bancaire";
"BSIIMP";"Import relevé bancaire";
"BSIIMPD";"Détail import relevé bancaire";
"BSIIMPDS";"Sous-détail imp. relevé bancaire";
"BSIIMPPAR";"Paramétrages import bancaire";
"BSIIMPTC";"Codes type import bancaire";
"BSIINVDIO";"Définition numéro facture";
"BSIINVDIOD";"Détail déf. numéro facture";
"BSIITCD";"Codes type import bancaire";
"BSIMANENT";"Saisie manuelle";
"BSIPAY";"Règlements";
"BSISCT";"Segment import bancaire";
"BSISCTD";"Détail segment import bancaire";
"BSISEAEXD";"Termes exclus";
"BSISEALIS";"Liste termes recherche";
"BSISEALISD";"Détail liste termes recherche";
"BUD";"Table des budgets";
"BUDFORCAL";"Formules de calcul des budgets";
"BUDOD";"OD budgétaires";
"BUDODS";"OD budgétaires";
"BUDPAR";"Paramétrage budgets";
"BUDPURAUD";"Audit";
"BUDVARCAL";"Variables de calcul budget";
"BUDVER";"Versions de budgets";
"CAAUZ";"Table des interdictions";
"CACCE";"Sections";
"CACCEDEF";"Sections par défaut";
"CADIEDEF";"Axes par défaut";
"CADISTMP";"Répartitions temporelles";
"CADSP";"Répartitions a priori";
"CALLATTEMP";"Tentative d'appel";
"CAPVAR";"Variations de capacité";
"CARAREA";"Régions transporteurs";
"CARPRICE";"Tarifs transporteurs";
"CBLOB";"Fichiers spéciaux";
"CBNDET";"Calcul besoins nets détail";
"CBNHEA";"Calcul besoins nets";
"CBNWRK";"Temporaire calcul besoins";
"CCMACTION";"Actions";
"CCMAPPROVER";"Approbateurs demande changement";
"CCMCHGREQ";"Demande de changement";
"CCMCRDESC";"Description demande changement";
"CCMCRNOTES";"Pièces jointes dem changement";
